file_id	id	entity	offset	note	CUI	sentence	CODE	STR	SAB
0003_d229	T12	soplo cardiaco	47 61	C0018808, Heart murmur, Finding ,DISO	C0018808	Frecuentes: aumento de la frecuencia cardiaca, soplo cardiaco, baja tensión arterial, reducción del suministro sanguíneo al músculo cardiaco.	R01.1	Soplo cardíaco, no especificado	SNOMEDCT2ICD10_SPA
0003_d229	T15	aumento de la frecuencia cardiaca	12 45	C0039231, Tachycardia, Finding ,DISO	C0039231	Frecuentes: aumento de la frecuencia cardiaca, soplo cardiaco, baja tensión arterial, reducción del suministro sanguíneo al músculo cardiaco.	P29.11	Taquicardia neonatal	SNOMEDCT2ICD10_SPA
0003_d229	T16	baja tensión arterial	63 84	C0020649, Hypotension, Finding ,DISO	C0020649	Frecuentes: aumento de la frecuencia cardiaca, soplo cardiaco, baja tensión arterial, reducción del suministro sanguíneo al músculo cardiaco.	I95	Hipotensión	ICD10_WIKI
0007_d348	T5	sobredosis	26 36	C0029944, overdose, Injury or Poisoning ,DISO	C0029944	En el caso de una posible sobredosis, debe ponerse en contacto con su médico inmediatamente.	T36	Envenenamiento, efecto adverso e infradosificación de antibióticos sistémicos	ICD10_WIKI
0008_d42	T13	EM	81 83	C0026769, Multiple Sclerosis, Disease or Syndrome ,DISO	C0026769	El tratamiento con Avonex puede ayudar a evitar que empeore, aunque no curará la EM.	G35	Esclerosis múltiple	ICD10CM_WIKI
0009_d42	T7	hormigueo de la piel	19 39	C0235050, Tingling of skin, Sign or Symptom ,DISO	C0235050	- entumecimiento u hormigueo de la piel	R20.2	Parestesias	SNOMEDCT2ICD10_SPA
0009_d42	T8	entumecimiento de la piel	2 16;29 39	C0522057, Numbness of skin, Sign or Symptom ,DISO	C0522057	- entumecimiento u hormigueo de la piel	R20.0	Anestesia cutánea	SNOMEDCT2ICD10_SPA
0010_d261	T4	embarazada	29 39	C0032961, Pregnancy, Organism Function ,PHYS	C0032961	• está planificando quedarse embarazada.	Z33.1	Estado de embarazo incidental	ICD10CM_SPA
0010_d261	T12	embarazada	29 39	C0549206, Patient currently pregnant, Finding ,DISO	C0549206	• está planificando quedarse embarazada.	Z33.1	Estado de embarazo incidental	SNOMEDCT2ICD10_SPA
0013_d334	T21	visión borrosa	65 79	C0344232, Blurred vision, Sign or Symptom ,DISO	C0344232	Ranexa puede provocar efectos adversos como mareos (frecuente) y visión borrosa (poco frecuente) que pueden afectar a su capacidad para conducir o utilizar máquinas.	H53.8	Otros trastornos visuales	SNOMEDCT2ICD10_SPA
0013_d334	T24	mareos	44 50	C0012833, Dizziness, Sign or Symptom ,DISO	C0012833	Ranexa puede provocar efectos adversos como mareos (frecuente) y visión borrosa (poco frecuente) que pueden afectar a su capacidad para conducir o utilizar máquinas.	R42	Mareo y desvanecimiento	SNOMEDCT2ICD10_SPA
0013_d334	T30	efectos adversos	22 38	C0041755, Adverse reaction to drug, Injury or Poisoning ,DISO	C0041755	Ranexa puede provocar efectos adversos como mareos (frecuente) y visión borrosa (poco frecuente) que pueden afectar a su capacidad para conducir o utilizar máquinas.	T88.7	Efecto adverso no especificado de fármaco o medicamento	ICD10_WIKI
0016_d347	T11	lupus	13 18	C0024131, Lupus Vulgaris, Disease or Syndrome ,DISO	C0024131	Los casos de lupus y pseudolupus, sin embargo, siguen siendo poco frecuentes.	A18.4	Tuberculosis de piel y tejido subcutáneo	SNOMEDCT2ICD10_SPA
0016_d347	T12	lupus	13 18	C0409974, Lupus Erythematosus, Disease or Syndrome ,DISO	C0409974	Los casos de lupus y pseudolupus, sin embargo, siguen siendo poco frecuentes.	L93.0	Lupus eritematoso discoide	ICD10CM_WIKI
0016_d347	T13	lupus	13 18	C0024138, Lupus Erythematosus, Discoid, Disease or Syndrome ,DISO	C0024138	Los casos de lupus y pseudolupus, sin embargo, siguen siendo poco frecuentes.	L93.0	Lupus eritematoso discoide	ICD10_WIKI
0016_d347	T14	lupus	13 18	C0024141, Lupus Erythematosus, Systemic, Disease or Syndrome ,DISO	C0024141	Los casos de lupus y pseudolupus, sin embargo, siguen siendo poco frecuentes.	M32	Lupus eritematoso sistémico (LES)	ICD10CM_WIKI
0018_d347	T12	ancianos	65 73	C0001792, Elderly (population group), Population Group ,LIVB	C0001792	No se ha estudiado la farmacocinética de infliximab en pacientes ancianos.	R54	Debilidad física relacionada con edad	SNOMEDCT2ICD10_SPA
0018_d347	T13	ancianos	65 73	C1999167, Old age, Finding ,DISO	C1999167	No se ha estudiado la farmacocinética de infliximab en pacientes ancianos.	R54	Debilidad física relacionada con edad	SNOMEDCT2ICD10_SPA
0024_d218	T5	fallo renal agudo	70 87	C0022660, Kidney Failure, Acute, Disease or Syndrome ,DISO	C0022660	Se ha observado un incremento en los niveles de creatinina sérica y/o fallo renal agudo.	N17	Fallo renal agudo	ICD10_WIKI
