file_id	entity	cui	start	end	sentence	CUI	STR	CODE	SAB	is_icd
ES100001	elevación progresiva de las cifras de PSA	C0178415	46	87	Paciente de 65 a. de edad, que presentaba una elevación progresiva de las cifras de PSA desde 6 ng/ml a 12 ng/ml en el último año.	C0178415	Antígeno prostático específico [PSA] elevado	R97.20	ICD10CM_SPA	True
ES100001	elevación del PSA	C0178415	281	298	Se decide, ante la elevación del PSA, realizar una E-RME previa a la 2ª biopsia transrectal, en la que se objetiva una lesión hipointensa que abarca zona central i periférica del ápex del lóbulo D prostático.	C0178415	Antígeno prostático específico [PSA] elevado	R97.20	ICD10CM_SPA	True
ES100001	ADK próstata	C0007112	780	792	La AP de la biopsia confirmó la presencia de un ADK próstata Gleason 6.	C0007112	Neoplasia maligna de próstata	C61	SNOMEDCT2ICD10_SPA	True
ES100002	hipertrofia benigna de próstata	C1704272	54	85	Varón de 66 años controlado en Consultas Externas por hipertrofia benigna de próstata.	C1704272	Otros tipos de uropatía obstructiva y por reflujo	N13.8	SNOMEDCT2ICD10_SPA	True
ES100002	hematuria	C0018965	109	118	Presenta episodios de hematuria monosintomática autolimitada y urinocultivos negativos.	C0018965	Hematuria, no especificada	R31.9	ICD10CM_SPA	True
ES100002	anulación funcional de riñón	C0232807	282	310	En estudio ecográfico se observa ureteropielocaliectasia grado II de riñón derecho y en U.I.V. se objetiva anulación funcional de riñón derecho, motivo por el cuál, se practica nefrostomia percutánea derecha, que confirma el hallazgo urográfico.	C0232807	Resultados anormales en estudios funcionales del riñón	R94.4	SNOMEDCT2ICD10_SPA	True
ES100002	alergias	C0020517	551	559	Entre sus antecedentes personales cabe destacar: sin alergias conocidas.	C0020517	Alergia no especificada	T78.40	ICD10CM_SPA	True
ES100002	HTA	C0020538	571	574	HTA.	C0020538	Hipertensión esencial (primaria)	I10	ICD10CM_SPA	True
ES100002	Diabetes Mellitus tipo II	C0011860	576	601	Diabetes Mellitus tipo II.	C0011860	Diabetes mellitus tipo 2 sin complicaciones	E11.9	SNOMEDCT2ICD10_SPA	True
ES100002	Miocardiopatía hipertrófica	C0007194	603	630	Miocardiopatía hipertrófica.	C0007194	Otras Miocardiopatías hipertróficas	I42.2	SNOMEDCT2ICD10_SPA	True
ES100002	Aneurisma carotídeo	C0340639	632	651	Aneurisma carotídeo intracerebral sin secuelas.	C0340639	Aneurisma de arteria carótida	I72.0	ICD10CM_SPA	True
ES100002	signos	C0311392	841	847	Genitales externos sin signos patológicos.	C0311392	Otros síntomas y signos generales	R68.89	SNOMEDCT2ICD10_SPA	True
ES100002	HBP	C1704272	889	892	Tacto rectal compatible con HBP grado I-II.	C1704272	Otros tipos de uropatía obstructiva y por reflujo	N13.8	SNOMEDCT2ICD10_SPA	True
ES100002	Defecto de replección a nivel de uréter	C0476379	1203	1242	PIELOGRAFIA DESCENDENTE a traves de Nefrostomia: Defecto de replección a nivel de uréter sacro-ilíaco derecho de aproximadamente 20 mm de longitud, con signos de infiltración de la pared.	C0476379	Otros trastornos especificados de riñón y uréter	N28.89	SNOMEDCT2ICD10_SPA	True
ES100002	Aneurisma de Aorta infrarrenal	C0741151	1455	1485	TAC ABDOMINO-PELVICO: Aneurisma de Aorta infrarrenal.	C0741151	Aneurisma de aorta abdominal, sin rotura	I71.4	SNOMEDCT2ICD10_SPA	True
ES100002	Atrofia hidronefrótica de riñón derecho	C4707574	1487	1526	Atrofia hidronefrótica de riñón derecho, sin visualizarse imágenes endoluminales intraureterales.	C4707574	Atrofia del riñón (terminal)	N26.1	SNOMEDCT2ICD10_SPA	True
ES100002	adenopatías	C0497156	1593	1604	Dudosas adenopatías paravesicales.	C0497156	Adenomegalia generalizada	R59.1	ICD10CM_SPA	True
ES100002	tumor de vías de uréter	C0153619	1659	1682	Ante estos hallazgos y la sospecha de tumor de vías de uréter derecho, el paciente es intervenido quirúrgicamente practicándose nefroureterectomía radical derecha con evolución postoperatoria satisfactoria.	C0153619	Neoplasia maligna de uréter no especificado	C66.9	SNOMEDCT2ICD10_SPA	True
ES100002	pielonefritis crónica	C0085697	1883	1904	El dictamen histopatológico de la pieza nos informa de pielonefritis crónica y cambios de arteriosclerosis, así como lesión inflamatoria ureteral que oblitera la luz con infiltrado de linfocitos en capas musculares, erosión de urotelio y presencia de Actinomices.	C0085697	Nefritis túbulo-intersticial crónica, no especificada	N11.9	ICD10CM_SPA	True
ES100002	arteriosclerosis	C0003850	1918	1934	El dictamen histopatológico de la pieza nos informa de pielonefritis crónica y cambios de arteriosclerosis, así como lesión inflamatoria ureteral que oblitera la luz con infiltrado de linfocitos en capas musculares, erosión de urotelio y presencia de Actinomices.	C0003850	Aterosclerosis no especificada	I70.90	SNOMEDCT2ICD10_SPA	True
ES100002	HBP	C1704272	2220	2223	Tras 9 años de seguimiento, el paciente mantiene una función renal aceptable (Creatinina sérica 2.1 mg/dl ) y es controlado por HBP sintomática.	C1704272	Otros tipos de uropatía obstructiva y por reflujo	N13.8	SNOMEDCT2ICD10_SPA	True
ES100030	adenocarcinoma rectal	C0149978	87	108	Presentamos el caso de un varón de 61 años diagnosticado, intervenido y tratado por un adenocarcinoma rectal desde 18 meses antes.	C0149978	Neoplasia maligna de recto	C20	SNOMEDCT2ICD10_SPA	True
ES100030	aumento del tamaño peneano	C0269011	144	170	Consultó por aumento del tamaño peneano, doloroso, junto a la aparición de unas lesiones eritematosas, excrecentes y sangrantes al roce en la piel prepucial.	C0269011	Otros trastornos especificados del pene	N48.89	SNOMEDCT2ICD10_SPA	True
ES100030	lesiones eritematosas	C0234913	211	232	Consultó por aumento del tamaño peneano, doloroso, junto a la aparición de unas lesiones eritematosas, excrecentes y sangrantes al roce en la piel prepucial.	C0234913	Exantema y otras erupciones cutáneas inespecíficas	R21	SNOMEDCT2ICD10_SPA	True
