file_id	id	entity	start_offset	end_offset	note	CUI	CODE	sentence	STR	type	part	SAB
0211-699501013956	T4	albuminuria	94	105	C0001925	C0001925	R80.9	Efectos del trandolapril en monoterapia y asociado con verapamil, sobre la presión arterial, albuminuria y control metabólico en pacientes hipertensos con diabetes tipo 2 y albuminuria	Proteinuria NEOM	abstracts	dev	SNOMEDCT2ICD10_SPA
0211-699501013956	T6	hipertensos	140	151	C0020538	C0020538	I10	Efectos del trandolapril en monoterapia y asociado con verapamil, sobre la presión arterial, albuminuria y control metabólico en pacientes hipertensos con diabetes tipo 2 y albuminuria	Hipertensión esencial (primaria)	abstracts	dev	ICD10CM_WIKI
0211-699501013956	T7	diabetes tipo 2	156	171	C0011860	C0011860	E11	Efectos del trandolapril en monoterapia y asociado con verapamil, sobre la presión arterial, albuminuria y control metabólico en pacientes hipertensos con diabetes tipo 2 y albuminuria	Diabetes mellitus tipo 2	abstracts	dev	ICD10_WIKI
0211-699501013956	T8	albuminuria	174	185	C0001925	C0001925	R80.9	Efectos del trandolapril en monoterapia y asociado con verapamil, sobre la presión arterial, albuminuria y control metabólico en pacientes hipertensos con diabetes tipo 2 y albuminuria	Proteinuria NEOM	abstracts	dev	SNOMEDCT2ICD10_SPA
0211-699501013956	T9	proteinuria	190	201	C0033687	C0033687	R80.9	La proteinuria es un predictor de morbi-mortalidad en pacientes hipertensos con diabetes tipo 2; los IECAs son fármacos de elección en estos pacientes; si la respuesta no es suficiente, la asociación de un antagonista del calcio no dihidropiridínico podría ser una alternativa eficaz.	Proteinuria NEOM	abstracts	dev	ICD10CM_WIKI
0211-699501013956	T10	hipertensos	251	262	C0020538	C0020538	I10	La proteinuria es un predictor de morbi-mortalidad en pacientes hipertensos con diabetes tipo 2; los IECAs son fármacos de elección en estos pacientes; si la respuesta no es suficiente, la asociación de un antagonista del calcio no dihidropiridínico podría ser una alternativa eficaz.	Hipertensión esencial (primaria)	abstracts	dev	ICD10CM_WIKI
0211-699501013956	T11	diabetes tipo 2	267	282	C0011860	C0011860	E11	La proteinuria es un predictor de morbi-mortalidad en pacientes hipertensos con diabetes tipo 2; los IECAs son fármacos de elección en estos pacientes; si la respuesta no es suficiente, la asociación de un antagonista del calcio no dihidropiridínico podría ser una alternativa eficaz.	Diabetes mellitus tipo 2	abstracts	dev	ICD10_WIKI
0211-699501013956	T26	hipertensos	684	695	C0020538	C0020538	I10	El propósito del estudio fue evaluar el efecto del tratamiento con el IECA trandolapril, en monoterapia o asociado a verapamil, sobre la excreción urinaria de albúmina, la PA y el control metabólico en pacientes hipertensos con diabetes tipo 2 y proteinuria.	Hipertensión esencial (primaria)	abstracts	dev	ICD10CM_WIKI
0211-699501013956	T27	diabetes tipo 2	700	715	C0011860	C0011860	E11	El propósito del estudio fue evaluar el efecto del tratamiento con el IECA trandolapril, en monoterapia o asociado a verapamil, sobre la excreción urinaria de albúmina, la PA y el control metabólico en pacientes hipertensos con diabetes tipo 2 y proteinuria.	Diabetes mellitus tipo 2	abstracts	dev	ICD10_WIKI
0211-699501013956	T28	proteinuria	718	729	C0033687	C0033687	R80.9	El propósito del estudio fue evaluar el efecto del tratamiento con el IECA trandolapril, en monoterapia o asociado a verapamil, sobre la excreción urinaria de albúmina, la PA y el control metabólico en pacientes hipertensos con diabetes tipo 2 y proteinuria.	Proteinuria NEOM	abstracts	dev	ICD10CM_WIKI
